Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
484	484	00B7	5E90	02C1	0024	029A	0070	
485	485	00B8	5C14	4705	0025	0077	FF65	
486	486	00B9	5D60	7C3D	0026	FF6B	009E	
487	487	00BA	6256	639B	0027	FCE5	FFE8	
488	488	00BB	6A8E	6E35	0028	0527	F97F	
489	489	00BC	7530	5C73	0029	FFAD	0645	
490	490	00BD	00FE	5E58	002A	FE0C	FFE3	
491	491	00BE	0C9A	53D8	002B	FF46	FED0	
492	492	00BF	16D0	6C7C	002C	FD50	0084	
493	493	00C0	1EAE	6730	002D	005F	019F	
494	494	00C1	233E	32DE	002E	FDB0	FF44	
495	495	00C2	240C	0E4C	002F	FF54	00A0	
496	496	00C3	20D4	0822	0030	FFD3	013D	
497	497	00C4	1A08	1F38	0031	0111	00F5	
498	498	00C5	1088	1300	0032	FF1E	002E	
499	499	00C6	0552	2304	0033	0274	0184	
500	500	00C7	7990	2F52	0034	0147	02D8	
501	501	00C8	6E78	182E	0035	026D	FDC4	
502	502	00C9	6534	1E72	0036	0436	005A	
503	503	00CA	5EC4	032F	0037	FB7F	012D	
504	504	00CB	5BF4	679F	0038	00FF	FF29	
505	505	00CC	5D22	7CED	0039	FED8	0128	
506	506	00CD	621E	642B	003A	008B	0069	
507	507	00CE	6A3A	4E65	003B	FED6	0097	
508	508	00CF	749C	5C57	003C	FFC4	0057	
509	509	00D0	0030	5E1E	003D	FE48	020C	
510	510	00D1	0BD6	5398	003E	FEB7	FFB5	
511	511	00D2	1634	6C26	003F	FDC9	01F2	
512	512	00D3	1E40	66C4	0040	FF27	0097	
513	513	00D4	22FE	3258	0041	FCFE	03F3	
514	514	00D5	23F0	0DC6	0042	FB3C	0423	
515	515	00D6	2102	07B8	0043	EB25	0EE9	
516	516	00D7	1A6E	1F1A	0044	0594	FFD2	
517	517	00D8	1100	131A	0045	033A	FC9E	
518	518	00D9	05DE	234E	0046	FF70	FF96	
519	519	00DA	7A1C	0FBA	0047	0117	FEEE	
520	520	00DB	6EE4	18B6	0048	000C	FFE2	
521	521	00DC	6582	1F0E	0049	003C	FFC5	
522	522	00DD	5EF2	03CD	004A	FF36	0094	
523	523	00DE	5C14	4815	004B	FF47	0011	
524	524	00DF	5D06	7D4B	004C	FF8C	0074	
525	525	00E0	61BA	648B	004D	FF59	FE81	
526	526	00E1	69AE	4EC3	004E	FFDD	0161	
527	527	00E2	7416	5C6F	004F	020D	FFDD	
528	528	00E3	7FD0	5DF1	0050	FF3E	03CF	
529	529	00E4	0B72	532C	0051	005E	07ED	
530	530	00E5	15D0	6B96	0052	FE58	FCFD	
531	531	00E6	1DFC	662A	0053	FF75	FF19	
532	532	00E7	22D8	11AC	0054	00D0	FE30	
533	533	00E8	2406	0D0C	0055	FFB1	003C	
534	534	00E9	2144	0728	0056	FF84	FD35	
535	535	00EA	1AE8	1EC2	0057	01A1	FFB2	
536	536	00EB	11A4	1304	0058	0083	FE4E	
537	537	00EC	0680	236C	0059	FF53	0157	
538	538	00ED	7ABA	2FEE	005A	FF3E	FEA2	
539	539	00EE	6F76	1916	005B	003A	FF20	
540	540	00EF	65E6	1F94	005C	FEF2	FF1F	
541	541	00F0	5F1E	0471	005D	FF4C	0334	
542	542	00F1	5C0C	08B5	005E	FB5F	FB65	
543	543	00F2	5CEE	7DC3	005F	023D	FE6F	
544	544	00F3	6186	64CD	0060	0157	01E1	
545	545	00F4	6942	6EC7	0061	FE67	FF92	
546	546	00F5	7374	5C5F	0062	00C1	0129	
547	547	00F6	7F10	5DCB	0063	FF35	FFF7	
548	548	00F7	0AD8	52E6	0064	FF12	0089	
549	549	00F8	1576	6B22	0065	FF81	FFE0	
550	550	00F9	1DC4	6590	0066	00E1	004D	
551	551	00FA	22CA	3132	0067	FEC5	0064	
552	552	00FB	23F4	0CD0	0068	FF47	0074	
553	553	00FC	214E	06DC	0069	FF2C	FFF9	
554	554	00FD	1B1A	1E68	006A	021A	FFE8	
555	555	00FE	1228	12B6	006B	FA9E	FD99	
556	556	00FF	072C	234C	006C	FDB1	FD97	
557	557	0000	7B4A	201C	006D	FF5A	0285	
558	558	0001	6FCE	297E	006E	FF81	FF6A	
559	559	0002	6632	1012	006F	0160	012D	
560	560	0003	5F60	14D5	0070	FF5E	0045	
561	561	0004	5C22	4917	0071	0144	00DB	
562	562	0005	5CDA	7E1D	0072	FEE1	FE6D	
563	563	0006	6122	6523	0073	0060	FFDB	
564	564	0007	68B0	6EED	0074	00FA	FFF5	
565	565	0008	72C2	5C4F	0075	0083	FED6	
566	566	0009	7E74	5D8B	0076	FE0A	FEEA	
567	567	000A	0A62	5280	0077	0145	0080	
568	568	000B	151A	6AA0	0078	0030	004D	
569	569	000C	1D6A	6518	0079	0D0E	05F1	
570	570	000D	2286	30AC	007A	05D8	00B9	
571	571	000E	23FC	0C3A	007B	FD4F	FDDD	
572	572	000F	2194	0668	007C	FEEF	FFA4	
573	573	0010	1B9A	1E1C	007D	FEED	0187	
574	574	0011	1296	1282	007E	0031	FFF6	
575	575	0012	078C	2350	007F	FEDA	0165	
576	576	0013	7BC4	205C	0080	0039	0129	
577	577	0014	706A	29E0	0081	FF8F	016E	
578	578	0015	66B4	1092	0082	005A	FFDD	
579	579	0016	5FC4	1581	0083	FF2E	01A8	
580	580	0017	5C48	49C9	0084	0217	FF63	
581	581	0018	5CAE	7EC3	0085	FF76	FE54	
582	582	0019	60C6	6595	0086	FEBD	FF89	
583	583	001A	682C	4F57	0087	0437	0133	
584	584	001B	722C	5C8F	0088	FC81	0117	
585	585	001C	7DDE	5D9F	0089	006B	FFAB	
586	586	001D	09C4	5248	008A	005C	FF40	
587	587	001E	149C	6A2E	008B	0051	FE2D	
588	588	001F	1D30	6486	008C	FDC9	0034	
589	589	0020	2284	101A	008D	003F	FF29	
590	590	0021	2426	0BB4	008E	FFFC	FEAA	
591	591	0022	21E0	0612	008F	FF6A	0000	
592	592	0023	1BEE	1DFC	0090	FF71	0099	
593	593	0024	131A	1296	0091	FFB2	FFE5	
594	594	0025	0836	238E	0092	FEEA	001A	
595	595	0026	7C6C	20A6	0093	03C8	FF4B	
596	596	0027	70FA	0A3A	0094	F774	06CD	
597	597	0028	670C	1108	0095	FFCE	025B	
598	598	0029	5FEE	15F9	0096	FEA1	FE68	
599	599	002A	5C56	4A5F	0097	FEF9	014A	
600	600	002B	5C9A	7F49	0098	00E4	FF6C	
601	601	002C	60AA	6603	0099	FFF5	012A	
602	602	002D	681A	4F87	009A	FF2B	FF45	
603	603	002E	7200	5C97	009B	FF73	0071	
604	604	002F	7D7A	5D7F	009C	0100	FF4A	
605	605	0030	0922	71FE	009D	FFDA	0078	
606	606	0031	13F2	69C4	009E	FF81	FF53	
607	607	0032	1CA6	6400	009F	00AC	0029	
608	608	0033	224E	7F8C	00A0	FFAD	FDD8	
609	609	0034	242E	3B1C	00A1	FC7D	0021	
610	610	0035	2216	0574	00A2	FC90	11E7	
611	611	0036	1C5E	1D78	00A3	0049	0276	
612	612	0037	1396	1264	00A4	FF95	027D	
613	613	0038	08AC	23A2	00A5	FF37	FED6	
614	614	0039	7CEE	20FC	00A6	FFC8	00BA	
615	615	003A	7166	2AA4	00A7	001A	011F	
616	616	003B	6766	1178	00A8	FEB6	0017	
617	617	003C	6018	168B	00A9	FDCD	FF79	
618	618	003D	5C58	4AE7	00AA	FFDC	FF19	
619	619	003E	5C70	7FC1	00AB	FFBC	FFEC	
620	620	003F	6044	6657	00AC	FEC1	00C1	
621	621	0040	676E	6FBD	00AD	FFF2	FE7D	
622	622	0041	714C	5C97	00AE	01E3	0335	
623	623	0042	7CD4	5D49	00AF	FD83	FDFA	
624	624	0043	08BC	51B8	00B0	FEAD	FBDD	
625	625	0044	1392	6968	00B1	FDB9	0101	
626	626	0045	1C42	6386	00B2	FF0A	FF25	
627	627	0046	21EA	7EF8	00B3	0072	FF54	
628	628	0047	23F4	3A8A	00B4	FF8E	FF33	
629	629	0048	2230	04EE	00B5	00A5	00F6	
630	630	0049	1CB0	1D1C	00B6	0003	FFC1	
631	631	004A	140C	1232	00B7	FFF7	00F9	
632	632	004B	0948	23A6	00B8	FF51	FF64	
633	633	004C	7D86	212C	00B9	FFBC	00F1	
634	634	004D	7204	2B04	00BA	003C	FF94	
635	635	004E	67E6	11F8	00BB	FFE9	01A1	
636	636	004F	606E	1719	00BC	FC40	02A5	
637	637	0050	5C60	4B6F	00BD	0058	F596	
638	638	0051	5C3A	7047	00BE	0265	01A1	
639	639	0052	5FFE	76B3	00BF	FE9A	FF61	
640	640	0053	671A	4FDD	00C0	FF3E	FF1D	
641	641	0054	70CC	5C93	00C1	FEFF	FF07	
642	642	0055	7C30	5D2B	00C2	FFDC	FE80	
643	643	0056	081A	516A	00C3	FEBF	FFA2	
644	644	0057	1324	68EA	00C4	FEDB	FF3E	
645	645	0058	1C0A	62DC	00C5	FE06	FE4B	
646	646	0059	21E2	7E60	00C6	FE16	FF5F	
647	647	005A	2404	1A0E	00C7	FD35	FEA3	
648	648	005B	225C	04A6	00C8	FDB0	FE39	
649	649	005C	1CFC	1D02	00C9	FC5F	FCE7	
650	650	005D	1484	1228	00CA	003F	0205	
651	651	005E	09DA	237A	00CB	0401	0001	
652	652	005F	7E14	2104	00CC	FC75	01A5	
653	653	0060	7272	2B20	00CD	FE55	0158	
654	654	0061	684A	127C	00CE	FE7F	FF0C	
655	655	0062	60B6	17CB	00CF	FE81	0059	
656	656	0063	5C8E	4C17	00D0	FD59	0014	
657	657	0064	5C38	70DD	00D1	FF81	FFD5	
658	658	0065	5FB4	7737	00D2	FEAE	FE37	
659	659	0066	669A	603B	00D3	FD8E	00C3	
660	660	0067	703C	4CBD	00D4	FD26	FF85	
661	661	0068	7BA0	5D07	00D5	FC9A	FDFB	
662	662	0069	078E	5110	00D6	F59E	FF5E	
663	663	006A	12B4	6878	00D7	ED72	069A	
664	664	006B	1BB8	6276	00D8	2981	F3F9	
665	665	006C	21B8	7DDC	00D9	0B11	FDDE	
666	666	006D	2410	1986	00DA	0904	FE27	
667	667	006E	2296	042C	00DB	02E3	FDA0	
668	668	006F	1D6E	1C9C	00DC	0256	FE1A	
669	669	0070	150A	11DC	00DD	03BB	FF4F	
670	670	0071	0A5C	236A	00DE	021F	FEA8	
671	671	0072	7E92	2142	00DF	FF7B	FFD9	
672	672	0073	72F6	2B98	00E0	0209	FF37	
673	673	0074	68BE	12F8	00E1	010F	FF31	
674	674	0075	6102	1842	00E2	0109	FEFB	
675	675	0076	5CA8	4C8F	00E3	FFAB	FF6A	
676	676	0077	5C2C	7133	00E4	0635	FAF5	
677	677	0078	5FA6	7781	00E5	FEC2	0294	
678	678	0079	666A	6071	00E6	FF0D	00D6	
679	679	007A	6FD2	6CD1	00E7	0138	0137	
680	680	007B	7B12	5D01	00E8	FFCD	003A	
681	681	007C	06EA	50E4	00E9	0024	FF1F	
682	682	007D	120A	6816	00EA	FFE1	FECD	
683	683	007E	1B1E	61EE	00EB	0100	FF1C	
684	684	007F	214C	7D44	00EC	FFFB	FEDE	
685	685	0080	2400	38FC	00ED	0079	FE92	
686	686	0081	22D0	03C4	00EE	FF8B	FEFE	
687	687	0082	1DD2	1C5C	00EF	0101	FEC7	
688	688	0083	158E	11C6	00F0	FEE4	FE2C	
689	689	0084	0AE4	23A2	00F1	0175	FC25	
690	690	0085	7F18	21AC	00F2	0588	03AC	
691	691	0086	7382	0C22	00F3	F7AF	FE66	
692	692	0087	693C	137A	00F4	013F	FBD1	
693	693	0088	6166	18C4	00F5	FFEC	FE65	
694	694	0089	5CC8	6D33	00F6	FF11	FE35	
695	695	008A	5C10	71D7	00F7	FEC0	FEEE	
696	696	008B	5F3E	7803	00F8	FF5E	FC86	
697	697	008C	65F4	60A5	00F9	FF4A	FEC0	
698	698	008D	6F5C	4CCB	00FA	0031	FE1C	
699	699	008E	7A9C	5CCF	00FB	FE62	FFE4	
700	700	008F	0684	70A0	00FC	FF8B	FE4B	
701	701	0090	11AA	67C2	00FD	FE40	00A2	
702	702	0091	1ACA	6186	00FE	FD6F	FED9	
703	703	0092	2120	7CC6	00FF	FE79	009F	
704	704	0093	23E8	184E	0000	4247	3E90	
705	705	0094	22D6	0304	0001	FDD4	0241	
706	706	0095	1E02	1BC2	0002	0012	00D8	
707	707	0096	15FC	1182	0003	0167	011B	
708	708	0097	0B8E	23AE	0004	00A5	0056	
709	709	0098	7FE4	21F6	0005	0215	0198	
710	710	0099	7426	0C78	0006	00D8	0158	
711	711	009A	69A8	13EC	0007	01D3	00A1	
712	712	009B	6198	1946	0008	024F	01B0	
713	713	009C	5CD4	4DB7	0009	026F	0281	
714	714	009D	5BFE	7259	000A	03B5	0244	
715	715	009E	5F06	787B	000B	02A3	04E1	
716	716	009F	6596	6113	000C	06BA	0715	
717	717	00A0	6EF0	6D03	000D	1792	15E9	
718	718	00A1	7A10	5CC1	000E	EDAC	EECB	
719	719	00A2	05E2	5058	000F	F9DA	F931	
720	720	00A3	1122	6758	0010	FD95	FA43	
721	721	00A4	1A8E	60F6	0011	FD1E	FD62	
722	722	00A5	211A	7C3A	0012	FEA6	FD69	
723	723	00A6	2406	37DC	0013	FEAE	FE3F	
724	724	00A7	2304	029E	0014	FE65	FE9F	
725	725	00A8	1E42	1B64	0015	FF6F	FD84	
726	726	00A9	163E	1134	0016	FFBB	FED1	
727	727	00AA	0BE4	2394	0017	FE80	FDC2	
728	728	00AB	004C	2220	0018	FF14	FF95	
729	729	00AC	74A4	2CDA	0019	FFDA	FEC9	
730	730	00AD	6A2E	1460	001A	0162	FC49	
731	731	00AE	620C	19CA	001B	FF90	FFAE	
732	732	00AF	5D16	4E4D	001C	FEEF	FFCF	
733	733	00B0	5BE8	72EB	001D	FDB1	001F	
734	734	00B1	5EBE	78DF	001E	FF8A	FF74	
735	735	00B2	6522	6141	001F	FEC1	FF4D	
736	736	00B3	6E5E	6CF5	0020	FF3F	FE5B	
737	737	00B4	797C	5C9B	0021	FF71	00A8	
738	738	00B5	054A	5024	0022	FF56	FFB5	
739	739	00B6	10B0	6700	0023	FF70	FE8A	
740	740	00B7	1A34	606A	0024	FF6F	FF50	
741	741	00B8	20E2	7B90	0025	FF3C	FF2E	
742	742	00B9	23E8	174E	0026	003A	00E0	
743	743	00BA	231A	024C	0027	FEDF	001F	
744	744	00BB	1E98	1B40	0028	00B2	00A6	
745	745	00BC	16E4	1138	0029	FFDF	FE36	
746	746	00BD	0C94	2394	002A	0099	003E	
747	747	00BE	00DE	222C	002B	FEEB	FD80	
748	748	00BF	7522	2D2E	002C	FF5C	FFC3	
749	749	00C0	6A9C	1500	002D	FF8E	FFD7	
750	750	00C1	6270	1A88	002E	0080	FF98	
751	751	00C2	5D5E	4ED5	002F	0037	FF97	
752	752	00C3	5C0C	7337	0030	FE6D	FFA7	
753	753	00C4	5EAA	7913	0031	0084	0002	
754	754	00C5	64D0	619D	0032	FFE2	FFFC	
755	755	00C6	6DCA	4D71	0033	FFEA	FF5D	
756	756	00C7	78BE	5CCB	0034	FED3	0046	
757	757	00C8	0498	5FD4	0035	FFBD	FFE0	
758	758	00C9	100E	5662	0036	FD33	025A	
759	759	00CA	19BE	6FD0	0037	0198	FD8E	
760	760	00CB	2098	6B0A	0038	FF8F	FF5C	
761	761	00CC	23DE	16D6	0039	FEFB	FF9E	
762	762	00CD	233C	01CA	003A	FFF1	00A3	
763	763	00CE	1EE6	1AD2	003B	FEE5	FF16	
764	764	00CF	1750	10FA	003C	FFEA	FEDE	
765	765	00D0	0D22	2390	003D	FFA7	FFCF	
766	766	00D1	0166	225A	003E	FF1C	FF9F	
767	767	00D2	7586	0D84	003F	FF12	FF06	
768	768	00D3	6AF2	1564	0040	FE96	FF14	
769	769	00D4	62A2	1AF6	0041	0040	FDCC	
770	770	00D5	5D78	4F61	0042	FE8F	FCF5	
771	771	00D6	5BFC	73D7	0043	F4B8	F8DE	
772	772	00D7	5E5C	7995	0044	02C4	0060	
773	773	00D8	646C	61D7	0045	01C5	0076	
774	774	00D9	6D70	4D63	0046	FFB9	00FA	
775	775	00DA	786C	5CA7	0047	00C1	FFC1	
776	776	00DB	0442	5FBA	0048	FFA5	FFFC	
777	777	00DC	0F9A	5634	0049	002A	FFD7	
778	778	00DD	1940	6F60	004A	00BA	FEEC	
779	779	00DE	202C	6A6E	004B	FFE1	005A	
780	780	00DF	239C	1624	004C	FF91	FF88	
781	781	00E0	234A	0132	004D	0077	004F	
782	782	00E1	1F3E	1A70	004E	00AB	FEB3	
783	783	00E2	17D4	10CA	004F	FEA4	FF85	
784	784	00E3	0DB2	238C	0050	FE2F	023C	
785	785	00E4	0208	228C	0051	FDAE	00AC	
786	786	00E5	7630	2DBA	0052	00CE	FFEB	
787	787	00E6	6B6A	15CC	0053	022A	FF35	
788	788	00E7	62EA	1B74	0054	007C	FF06	
789	789	00E8	5D94	4FD7	0055	00A4	FF50	
790	790	00E9	5BF0	7447	0056	0058	00A4	
791	791	00EA	5E22	79FF	0057	0035	FF50	
792	792	00EB	63FC	622F	0058	0061	FF6D	
793	793	00EC	6CD4	4D93	0059	00C1	0029	
794	794	00ED	77BA	5C99	005A	0050	FFEC	
795	795	00EE	039A	5F5A	005B	0022	0070	
796	796	00EF	0F14	55B6	005C	0035	FF92	
797	797	00F0	18EA	6EF8	005D	0128	FF08	
798	798	00F1	1FFE	6A14	005E	0118	FE70	
799	799	00F2	23A2	35B2	005F	0136	001D	
800	800	00F3	2370	00AC	0060	FF04	FE70	
801	801	00F4	1F5C	19DC	0061	FF97	0179	
802	802	00F5	17F6	1060	0062	00B3	FF96	
803	803	00F6	0E0A	2374	0063	0044	FF87	
804	804	00F7	029C	22A4	0064	FFBD	FFEB	
805	805	00F8	76DE	2E02	0065	FEF7	FFFA	
806	806	00F9	6C26	162C	0066	00E6	FFF2	
807	807	00FA	636C	1C0E	0067	FFF4	FF97	
808	808	00FB	5DCC	00A1	0068	0019	FFFF	
809	809	00FC	5BD8	4503	0069	0058	FF8D	
810	810	00FD	5DE0	7A85	006A	007E	FFAF	
811	811	00FE	63AE	626D	006B	FE5C	0051	
812	812	00FF	6C7C	6D8B	006C	00DB	FD6B	
813	813	0000	7746	5C6B	006D	FEA3	015B	
814	814	0001	02FA	5F3C	006E	000C	0011	
815	815	0002	0E7A	5574	006F	0113	FF9D	
816	816	0003	188A	6E7E	0070	0071	FEFF	
817	817	0004	1FE6	695E	0071	00FB	0005	
818	818	0005	23BA	150A	0072	0088	0006	
819	819	0006	23B4	0038	0073	FFCF	FF81	
820	820	0007	1FCA	19B2	0074	0074	FF9D	
821	821	0008	1888	104E	0075	013A	0010	
822	822	0009	0E9E	2364	0076	013F	FFC8	
823	823	000A	0332	229A	0077	FFED	FFBA	
824	824	000B	7770	0E2C	0078	FE4F	00E6	
825	825	000C	6C9A	1696	0079	088E	FFC2	
826	826	000D	63BA	1C7A	007A	FF5B	0239	
827	827	000E	5DFA	0105	007B	0003	FFCB	
828	828	000F	5BE6	4579	007C	0121	0065	
829	829	0010	5DC8	7B07	007D	0051	0034	
830	830	0011	634C	62DB	007E	006E	0013	
831	831	0012	6BF8	4DD7	007F	0054	FF88	
832	832	0013	76BA	5C73	0080	FFEE	00E8	
833	833	0014	0272	5EE6	0081	0024	0009	
834	834	0015	0DF6	54FE	0082	006B	FFD5	
835	835	0016	1806	6DFC	0083	FF98	FFB8	
836	836	0017	1F80	68DE	0084	FEAF	0118	
837	837	0018	238E	148E	0085	016C	0056	
838	838	0019	23AC	0FC4	0086	0139	FF78	
839	839	001A	1FFC	0948	0087	00E7	FED8	
840	840	001B	18EE	1002	0088	01CB	FF26	
841	841	001C	0F30	2356	0089	FFBC	0029	
842	842	001D	03C0	22E0	008A	FFBE	003F	
843	843	001E	77F2	2E90	008B	FF94	FF82	
844	844	001F	6CFA	1702	008C	FF85	FF60	
845	845	0020	640C	1D04	008D	009A	FFF0	
846	846	0021	5E20	018B	008E	006F	FFE3	
847	847	0022	5BE4	45F5	008F	FF4E	FF6D	
848	848	0023	5D90	7B65	0090	FF89	FF36	
849	849	0024	62F2	6313	0091	FFF4	FFF2	
850	850	0025	6B7E	4DFF	0092	00F8	FEEE	
851	851	0026	762E	5C9D	0093	003C	005D	
852	852	0027	01F4	5EFA	0094	0017	04A1	
853	853	0028	0D7E	54D0	0095	FF19	01A4	
854	854	0029	17A0	6D80	0096	004C	012E	
855	855	002A	1F28	6834	0097	00A5	FF4B	
856	856	002B	2340	13E6	0098	FFC0	FFC2	
857	857	002C	23B0	0F42	0099	0028	0037	
858	858	002D	2052	08F0	009A	FFF5	0026	
859	859	002E	1974	1FDE	009B	0161	FF88	
860	860	002F	0FB8	1348	009C	001B	000D	
861	861	0030	0448	22DE	009D	0051	FFFB	
862	862	0031	7868	0ED2	009E	0017	FF07	
863	863	0032	6D5A	1786	009F	FFF1	00B3	
864	864	0033	645C	1DA8	00A0	008E	FF11	
865	865	0034	5E5A	0235	00A1	0152	FED5	
866	866	0035	5BEE	467F	00A2	0250	09DA	
867	867	0036	5D6A	7BCF	00A3	0189	FFD6	
868	868	0037	628E	6363	00A4	002D	FF98	
869	869	0038	6AEE	4E2F	00A5	0029	019E	
870	870	0039	7588	5C87	00A6	00F6	00D3	
871	871	003A	0166	5EA2	00A7	002E	0032	
872	872	003B	0D20	7450	00A8	FFE4	FFE1	
873	873	003C	174C	6D0C	00A9	00A7	004C	
874	874	003D	1EDE	67DC	00AA	00FC	00EC	
875	875	003E	2324	3378	00AB	FFE8	FF49	
876	876	003F	23B6	0EB4	00AC	0001	000F	
877	877	0040	2068	0868	00AD	FFEE	0039	
878	878	0041	1998	1F96	00AE	0169	FEC1	
879	879	0042	101E	133C	00AF	FD8A	0298	
880	880	0043	04EC	2308	00B0	0066	FFAB	
881	881	0044	7914	0F1A	00B1	0034	002E	
882	882	0045	6DF4	17F2	00B2	0009	FF8C	
883	883	0046	64D0	1E26	00B3	0049	0008	
884	884	0047	5EA6	02B3	00B4	0063	FF86	
885	885	0048	5C0C	66E9	00B5	008F	0111	
886	886	0049	5D4A	7C37	00B6	0069	FF1C	
887	887	004A	6236	63B9	00B7	0072	FF82	
888	888	004B	6A7E	4E4B	00B8	00BB	005C	
889	889	004C	751C	5C51	00B9	00C1	0043	
890	890	004D	00E4	5E25	00BA	022C	0018	
891	891	004E	0C8E	53CA	00BB	FF17	FF57	
892	892	004F	16C8	6C86	00BC	01CC	013B	
893	893	0050	1E92	6742	00BD	FD86	FF5F	
894	894	0051	230A	12DE	00BE	0001	0095	
895	895	0052	23D0	0E2C	00BF	FF92	FED3	
896	896	0053	20BA	0806	00C0	004E	FFE4	
897	897	0054	1A1E	1F3C	00C1	0039	00BB	
898	898	0055	10AC	130C	00C2	011F	00F8	
899	899	0056	055C	2322	00C3	0037	0079	
900	900	0057	797E	0F68	00C4	FF7B	0021	
901	901	0058	6E60	1856	00C5	0140	00D1	
902	902	0059	6540	1E88	00C6	0089	019B	
903	903	005A	5F0E	032F	00C7	0075	0095	
904	904	005B	5C42	4791	00C8	FFED	020B	
905	905	005C	5D36	7CE3	00C9	0031	0097	
906	906	005D	61F6	6439	00CA	00B6	FFB8	
907	907	005E	69F6	4E7F	00CB	0332	FE69	
908	908	005F	7470	5C6D	00CC	011E	FF54	
909	909	0060	002C	5E19	00CD	FFE3	005A	
910	910	0061	0BF0	537C	00CE	0112	0112	
911	911	0062	1658	6C1A	00CF	0034	0060	
912	912	0063	1E52	66C8	00D0	01A2	008E	
913	913	0064	2300	1254	00D1	0071	014A	
914	914	0065	23E4	0DC0	00D2	00C3	00DE	
915	915	0066	20EC	07B6	00D3	011E	0105	
916	916	0067	1A6E	1F1C	00D4	0157	0250	
917	917	0068	1120	132C	00D5	037F	00B6	
918	918	0069	0600	235A	00D6	02C1	033A	
919	919	006A	7A24	0FA8	00D7	0474	08A3	
920	920	006B	6EF0	18A0	00D8	F36B	EDAD	
921	921	006C	6592	1EF8	00D9	FC29	FCE0	
922	922	006D	5F08	03BD	00DA	FE18	FFB5	
923	923	006E	5C02	0829	00DB	FF9B	FD74	
924	924	006F	5D02	7D5F	00DC	FEB4	FE3A	
925	925	0070	61C6	6499	00DD	FF37	FE8B	
926	926	0071	69C4	6EC3	00DE	000B	FF6B	
927	927	0072	741C	5C73	00DF	FF64	0001	
928	928	0073	7FA4	5DE7	00E0	FF28	FE89	
929	929	0074	0B4C	5316	00E1	006C	FFE2	
930	930	0075	15CC	6B84	00E2	FFA5	FF07	
931	931	0076	1DFE	6626	00E3	FFB7	FFDB	
932	932	0077	22E4	31BA	00E4	FDF8	0210	
933	933	0078	2400	0D1C	00E5	0197	FD74	
934	934	0079	2150	072C	00E6	0098	FF49	
935	935	007A	1AE8	1EBA	00E7	017C	FF15	
936	936	007B	11A6	130C	00E8	004A	FFD2	
937	937	007C	0678	236C	00E9	00C9	FF46	
938	938	007D	7A9A	2FEE	00EA	0036	0030	
939	939	007E	6F52	1902	00EB	FFE9	FE56	
940	940	007F	65EA	1F8E	00EC	001C	002D	
941	941	0080	5F3E	045D	00ED	002D	0091	
942	942	0081	5C14	08B1	00EE	0021	FF65	
943	943	0082	5CC8	7DC1	00EF	0006	FFCE	
944	944	0083	613A	64C5	00F0	FE5D	FF15	
945	945	0084	690A	6EC9	00F1	013B	0073	
946	946	0085	7358	5C61	00F2	FEEF	FECD	
947	947	0086	7F0E	5DDD	00F3	01B3	0175	
948	948	0087	0AD2	52F8	00F4	002A	FF13	
949	949	0088	156C	6B2C	00F5	0142	017A	
950	950	0089	1DB6	6592	00F6	0053	FFF9	
951	951	008A	22B8	312C	00F7	00BC	FFE6	
952	952	008B	23F4	0CB6	00F8	FFB5	FFD7	
953	953	008C	2156	06DE	00F9	0061	FFBA	
954	954	008D	1B2C	1E7A	00FA	01BA	0006	
955	955	008E	1220	32B0	00FB	FF9E	FFF9	
956	956	008F	072A	2334	00FC	00B0	FFA8	
957	957	0090	7B68	2028	00FD	00F0	0081	
958	958	0091	7008	29AC	00FE	0225	FE8D	
959	959	0092	6660	103C	00FF	01BD	FF7E	
960	960	0093	5F98	14F1	0000	79AD	78BC	
961	961	0094	5C4E	492F	0001	032E	0080	
962	962	0095	5CD4	7E3D	0002	FFA8	0089	
963	963	0096	6120	6539	0003	FFE0	FF88	
964	964	0097	68B4	4F03	0004	FEAF	00EE	
965	965	0098	72E2	5C63	0005	FB88	FEDB	
966	966	0099	7E98	5DA1	0006	FCD8	FE83	
967	967	009A	0A66	5294	0007	FC98	FD3F	
968	968	009B	150A	6AAA	0008	FAEE	FD95	
969	969	009C	1D58	650C	0009	FB82	FDA5	
970	970	009D	2292	309E	000A	F68C	FC46	
971	971	009E	240C	0C2C	000B	F36D	FD5F	
972	972	009F	21A2	0666	000C	EDA8	F617	
973	973	00A0	1B8C	1E1C	000D	C54F	E68C	
974	974	00A1	1294	129E	000E	2EAB	1543	
975	975	00A2	079E	2360	000F	0DF8	08B8	
976	976	00A3	7BD0	2048	0010	0866	0217	
977	977	00A4	7068	29C2	0011	04E7	0218	
978	978	00A5	66AA	1084	0012	0575	0266	
979	979	00A6	5FB2	1585	0013	02E7	046E	
980	980	00A7	5C3A	49C9	0014	0251	017B	
981	981	00A8	5CA2	7EB9	0015	03E4	034E	
982	982	00A9	60D2	6589	0016	0170	02EC	
983	983	00AA	683E	6F51	0017	03C9	01D6	
984	984	00AB	7254	5C93	0018	02D6	0461	
985	985	00AC	7DEC	5D99	0019	0502	0208	
986	986	00AD	09CC	724A	001A	0542	02F7	
987	987	00AE	149A	6A3E	001B	FC65	0175	
988	988	00AF	1D1C	64A2	001C	0256	027D	
