Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
113	113	0044	2328	7290	00B1	FEEC	FEEA	
114	114	0045	23F2	0DD2	00B2	0056	009C	
115	115	0046	20E4	07C0	00B3	FF75	FFF6	
116	116	0047	1A58	1F22	00B4	006A	FF34	
117	117	0048	1106	131A	00B5	FF84	0093	
118	118	0049	05CA	2346	00B6	FFEA	006D	
119	119	004A	79EE	2F96	00B7	FF52	FED9	
120	120	004B	6EC2	1880	00B8	006F	FFD4	
121	121	004C	656C	1ED6	00B9	FF20	FF1D	
122	122	004D	5EEC	039B	00BA	FF31	FF8C	
123	123	004E	5C08	07FB	00BB	0025	0014	
124	124	004F	5D18	7D29	00BC	FE49	FE87	
125	125	0050	61E8	646F	00BD	0241	0390	
126	126	0051	69F0	6EB1	00BE	015D	FF51	
127	127	0052	7448	5C99	00BF	FFE5	0025	
128	128	0053	7FD4	5E2F	00C0	003F	FFAC	
129	129	0054	0B7E	5374	00C1	0020	FFDD	
130	130	0055	15F0	6BC6	00C2	FFF6	0030	
131	131	0056	1E0E	6646	00C3	FF46	FF91	
132	132	0057	22E6	71CA	00C4	0008	0066	
133	133	0058	23FA	0D2C	00C5	009E	FFD7	
134	134	0059	212C	0740	00C6	0018	FF88	
135	135	005A	1AB6	1EC4	00C7	000A	FF64	
136	136	005B	116E	12EA	00C8	FF76	0034	
137	137	005C	0646	2342	00C9	FEF7	FF8D	
138	138	005D	7A80	2FC4	00CA	01DA	007D	
139	139	005E	6F52	18F2	00CB	0220	0321	
140	140	005F	65E6	1F74	00CC	01F1	FF34	
141	141	0060	5F2E	0439	00CD	0157	004B	
142	142	0061	5C04	088B	00CE	001A	FFC7	
143	143	0062	5CD0	7DAB	00CF	0135	00BD	
144	144	0063	6176	64B7	00D0	00C8	0016	
145	145	0064	695E	6EAF	00D1	00BA	FF9A	
146	146	0065	73AA	5C61	00D2	0118	FF0F	
147	147	0066	7F4A	5DDF	00D3	01A2	0192	
148	148	0067	0B08	52FA	00D4	0247	0096	
149	149	0068	15A0	6B40	00D5	02E7	003A	
150	150	0069	1DC6	65C4	00D6	0414	0178	
151	151	006A	22B2	7168	00D7	0703	066D	
152	152	006B	23CE	0CDC	00D8	EE1B	F346	
153	153	006C	2126	06E4	00D9	FB75	FDA3	
